Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2018,12,Female,17,Right-Handed,152,22.5,24,1,Car,10,0.391,34,Other,1000,1000,1000,1000,500,500,22.5,Same length,20,25,Ring finger,February,Fall,No,No,Meat,Water,Physical education,7,9,3,Yes - broadband connection,Text messaging,50,50,3,4,3,2,9,0,2,5,0.5,0,35,1,Very little,Graduate degree,Rap/Hip hop,Invisibility,Happy,Business person,Environment
USA,TN,2018,12,Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CO,2018,12,Female,17,Ambidextrous,164cm,22cm,160cm,2,Car,10min,0.532,40,Running/Jogging,786,840,920,968,588,588,22,Same length,65,65,Same length,August,Summer,Yes,No,Meat,Water,Science,7,9,3,Yes - broadband connection,Text messaging,15,20,10,3,5,10,10,2,5,4,5,6,2,2,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Friend,International aid
USA,ID,2018,12,Male,23,Right-Handed,171.5,21.6,162.5,1,Walk,7,0.298,28,Other,503,914,610,807,452,412,21.6,Same length,94,106,Ring finger,June,Spring,Yes,No,Salads,Water,Mathematics and statistics,7.75,7.75,2,Yes - other,In person,10,9,12,0.25,35,8,0,0,0.25,0.25,35,2,0,8,A lot,Graduate degree,Gospel,Freeze time,Happy,Relative,Religious
USA,NC,2018,12,Female,17,Right-Handed,136,26,54,1,Car,7,0.399,31,None,250,750,500,400,900,1000,25,Same length,60,65,Ring finger,July,Summer,No,No,Meat,Water,Science,8,10,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",12,30,2,2,10,1,0,0,8,1,10,0,2,2,A lot,Undergraduate degree,Rap/Hip hop,Freeze time,Happy,Relative,International aid
USA,SC,2018,12,Female,17,Right-Handed,5.1,6,10,2,Car,2,0.375,57,Skateboarding/Rollerblading,10,10,10,100,0,100,,Same length,10,16,Ring finger,December,Fall,No,No,Desserts,Milk,History,4,1,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",30,31,68,15,0,0,0,0,0,100,0,0,40,1,A lot,Some college,Country,Telepathy,Happy,Religious figure,Religious
USA,ID,2018,12,Male,24,Right-Handed,72,24,70,1,Walk,2,0.342,28,Soccer,500,600,400,400,700,700,23,Right foot,83,80,Index finger,July,Summer,No,No,Meat,Water,Other,6.5,7.5,6,Yes - broadband connection,In person,25,25,18,1.5,19,0,8.5,0,3,1,17,3,0,2,Some,Graduate degree,Rap/Hip hop,,Happy,Relative,Religious
USA,CA,2018,12,Female,17,Right-Handed,152,22,142,1,Car,5,0.44,45,Other,560,600,800,700,300,500,22,Same length,80,80,Same length,January,Summer,No,No,Pizza/Pasta,Water,Science,10,12,5,Yes - other,In person,15,23,10,8,2,5,15,1,9,9,9,12,1,3,Some,Graduate degree,Techno/Electronic,Freeze time,Happy,Coach or club leader,Education/Youth development
USA,CA,2018,12,Male,17,Right-Handed,185,28,92,1,Bicycle,15,0.387,44,Tennis,1000,1000,1000,947,861,930,28,Same length,81,84,Ring finger,February,Winter,No,No,Rice/Noodle dishes,Tea,Music,7,8,3,Yes - broadband connection,Text messaging,20,20,0,0,8,3,0,10,4,2,7,3,21,1,A lot,Graduate degree,Heavy metal,Invisibility,Happy,Musician or singer,Environment
USA,RI,2018,12,Male,18,Left-Handed,184,180,180,2,Car,10,404,59,Golf,257,444,540,358,545,1000,10,Same length,9.5,9.5,,January,Spring,Yes,Yes,Soups,Soft drink (non-caffeinated),Geography,6,8,5,,Cell phone,30,30,483,785,734,233,556,535,355,235,566,545,234,535,Very little,High school,Rap/Hip hop,Telepathy,Happy,Business person,"Wildlife, animals"
USA,IA,2018,12,Male,18,Right-Handed,185,25,180,1,Car,3,0.263,50,Baseball/Softball,250,250,250,500,250,750,26.67,Left foot,889,952,Ring finger,August,Summer,Yes,No,Poultry,Water,Physical education,8,9,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,2,6,0,6,2,8,6,3,0,0.5,2,10,1,Some,Graduate degree,Country,Telepathy,Healthy,Sports person,"Arts, culture, sports"
USA,NJ,2018,12,Female,18,Right-Handed,154,23,154,1,Car,10,0.42,53,Other,1000,1000,1000,1000,1000,1000,24,Left foot,7,6,Index finger,February,Summer,Yes,No,No favorite,Water,Other,5,9,3,Yes - other,Text messaging,40,75,40,10,3,3,6,0,30,25,15,2,20,5,A lot,Some college,Other,Telepathy,Famous,Relative,"Wildlife, animals"
USA,TX,2018,12,Female,17,Right-Handed,165,26,173,2,Car,8,0.486,37,Soccer,1000,1000,1000,1000,1000,1000,27,Same length,6.5,7,Ring finger,April,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,6,Yes - other,Text messaging,100,100,0,1,0,10,0,0,20,24,0,3,0,1,A lot,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Musician or singer,"Wildlife, animals"
USA,FL,2018,12,Male,17,Left-Handed,172.7,26,184,2,Car,45,0.283,52.6,Basketball,1000,1000,1000,1000,200,500,26,Same length,80,80,Same length,October,Summer,Yes,No,Meat,Water,Physical education,7,10,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",6,10,10,2,1,3,20,1,15,2,45,4,5,0,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,Education/Youth development
USA,OK,2018,12,Female,16,Right-Handed,162,20,158,2,Car,8,0.662,43,Football (American),700,600,500,400,300,200,23,Left foot,76,76,Same length,September,Spring,Yes,No,No favorite,Soft drink (caffeinated),Other,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,0,12,40,24,0,35,38,0,45,0,0,26,A lot,Undergraduate degree,Pop,Fly,Happy,Musician or singer,Education/Youth development
USA,ID,2018,12,Female,21,Right-Handed,152.4,24,152,2,Car,3,0.584,49,Dancing,879,700,305,598,743,944,24,Right foot,67,65,Index finger,January,Fall,Yes,Yes,Breads/Sandwiches,Soft drink (caffeinated),Other,3,8,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",8,3,3,2,30,65,3,0,15,5,35,3,20,10,A lot,Graduate degree,Rock and roll,Telepathy,Rich,Business person,Health
USA,TX,2018,12,Female,17,Right-Handed,,25,174,2,Car,10,1.4,44,None,1000,1000,1000,1000,10,100,24,Right foot,80,70,Index finger,February,Summer,No,No,No favorite,Soft drink (caffeinated),Other,8,14,5,Yes - dial-up connection,Text messaging,10,15,20,10,5,5,6,7,9,5,8,4,0,0,Some,Other,Other,Telepathy,Famous,Actor,"Wildlife, animals"
USA,IL,2018,12,Female,16,Right-Handed,180,26,188,3,Car,13,0.366,53,Swimming,650,800,800,700,800,900,27,Left foot,89,82,Ring finger,July,Summer,No,Yes,Fruit,Water,Science,6.5,8,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",4,8,3,1,8,3,15,0,4,2,10,2,0,4,A lot,Graduate degree,Reggae,Freeze time,Happy,Other,Health
USA,CA,2018,12,Female,16,Right-Handed,165,7.5,5,2,Car,5,10,51,Dancing,0,1000,0,0,1000,1000,5,Same length,3,3,Same length,June,Spring,Yes,No,Rice/Noodle dishes,Water,Languages,6,6,11,Yes - broadband connection,In person,0,0,10,1,20,20,0,0,24,0,24,0,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,International aid
USA,ID,2018,12,Male,23,Right-Handed,191,27,94,1,Car,4,0.408,50,Soccer,610,754,390,481,1000,1000,28,Left foot,87,82,Index finger,July,Summer,No,No,Breads/Sandwiches,Water,Mathematics and statistics,6,9,2,Yes - broadband connection,Text messaging,40,40,10,1,15,10,2,2,1,1,4,10,0,10,A lot,Graduate degree,Rock and roll,Freeze time,Happy,Relative,Education/Youth development
USA,CA,2018,12,Female,17,Left-Handed,152,17,152,3,Car,7,0.485,39,Walking/Hiking,1000,800,1000,750,750,800,17,Same length,70,60,Index finger,May,Spring,No,No,Salads,Water,Languages,7,8,5,Yes - broadband connection,In person,7,6,3,1,15,4,1,0,20,2,35,2,0,10,A lot,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Relative,International aid
USA,UT,2018,12,Female,17,Right-Handed,168,23,161,1,Car,6,0.437,43,Swimming,1000,954,1000,756,280,678,23,Same length,80,75,Index finger,July,Spring,No,No,Pizza/Pasta,Milk,English,8,9,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",4,3,15,1,3,40,0,2,6,2,35,0,0,0,Very little,Graduate degree,Other,Telepathy,Rich,Relative,International aid
