"bedroomcnt","bathroomcnt","calculatedfinishedsquarefeet","taxamount","propertylandusedesc","propertylandusetypeid","fips"
3,3,1940,6256.36,516951,261,6037
3,2,1134,1701.38,123000,261,6037
2,1,1109,2348.61,174255,261,6037
3,2,1013,1201.47,96587,261,6037
3,2,1996,1293.46,101222,261,6037
4,3,2737,4868.36,333988,261,6037
2,1,1049,3040.07,249697,261,6037
3,3,1678,2546.81,203648,261,6037
2,2,1351,1168.3,89212,261,6037
4,3,2402,2759.64,270914,261,6037
2,1,760,422.5,30189,261,6037
1,1,601,1044.04,75673,261,6037
3,2,1542,8097.15,666775,261,6037
2,1,840,951.04,62147,261,6037
2,1,1329,4413.73,313004,261,6037
3,1,1211,947.67,35360,261,6037
1,1,651,7086.43,583768,261,6037
3,2,1393,2764.57,157084,261,6037
4,3,2221,1493.9,88916,261,6037
2,1,1127,984.09,37848,261,6037
2,2,2001,10496.1,873795,261,6037
3,2,1970,2676.5,169007,261,6037
3,3,2149,5128.78,410786,261,6037
2,1,852,4488.25,331478,261,6037
3,4,2978,5818.1,463179,261,6037
2,1,896,517.49,33083,261,6037
2,1,905,2474.16,171961,261,6037
3,1,1210,2314.38,180455,261,6037
3,2,1632,10521.99,877364,261,6037
3,2,1160,2518.69,147318,261,6037
2,1,1077,5657.82,411176,261,6037
2,1,754,1095.72,48125,261,6037
3,3,1953,5546.75,451866,261,6037
4,2,1550,2594.79,152192,261,6037
3,3,2789,8646.26,643800,261,6037
3,1,631,940.93,36900,261,6037
3,2,1344,10231.33,847790,261,6037
3,2,1064,2460.06,142488,261,6037
3,1,1305,5673.41,449000,261,6037
1,1,520,3069.49,218650,261,6037
2,1,940,4417.79,359500,261,6037
3,2,1000,9111.32,759337,261,6037
3,1,1122,4188.17,296464,261,6037
1,1,504,960.67,30593,261,6037
2,1,968,4050,329956,261,6037
5,3,2640,5373.25,236970,261,6037
4,2,1296,6918.66,377969,261,6037
3,1,1388,2161.76,137239,261,6037
2,1,1078,1248.97,88675,261,6037
3,2,1590,3517.9,141115,261,6037
3,1,1228,2623.55,182078,261,6037
1,1,543,3080.98,213379,261,6037
3,1,1045,2390.69,182722,261,6037
3,2,2185,3470.35,239315,261,6037
2,2,1384,3822.33,270913,261,6037
2,1,1089,1229.42,52773,261,6037
4,2,1547,4358.11,359828,261,6037
3,2,1503,2071.41,114841,261,6037
4,3,2010,4345.12,312667,261,6037
4,2,1380,1099.75,66385,261,6037
3,2,1679,5849.12,484848,261,6037
3,2,1305,2593.73,160000,261,6037
4,3,1850,4765.76,340564,261,6037
3,2,1860,7413.56,581397,261,6037
2,2,2090,34200.07,2847720,261,6037
3,1,990,2590.93,153568,261,6037
3,1,1380,4342.03,317248,261,6037
2,2,1770,7190.26,570489,261,6037
3,3,3183,7556.87,618916,261,6037
3,1,1115,1854.25,104365,261,6037
3,2,1517,2490.05,170721,261,6037
3,2,1620,5225.25,406952,261,6037
3,3,3074,7537.66,599587,261,6037
5,3,2690,3359.49,213234,261,6037
5,3,1864,4643.11,316230,261,6037
3,2,1508,6029.58,506609,261,6037
2,2,1087,6867.52,562398,261,6037
4,2,1269,1588.03,67599,261,6037
3,2,1014,2917.85,184415,261,6037
2,1,1258,987.89,53356,261,6037
3,2,1460,767.54,66429,261,6037
3,1,954,2005.75,104266,261,6037
0,0,NULL,NULL,18092,261,6037
2,1,943,6309.2,494539,261,6037
2,1,832,5200.99,468397,261,6037
4,2,1738,1246.26,43850,261,6037
3,2,1722,5498.35,426358,261,6037
4,3,2376,3094,226466,261,6037
2,3,1642,1082.13,94698,261,6037
3,3,1454,2633.51,156033,261,6037
4,2,1651,3392.63,251454,261,6037
3,2,1486,5901.42,428575,261,6037
3,2,1604,855.45,66636,261,6037
3,1,1278,1078.2,31218,261,6037
2,2,1255,3903.8,297089,261,6037
4,3,2065,5192.66,398899,261,6037
2,1,964,6998.14,639500,261,6037
4,2,1728,2753.06,172000,261,6037
3,3,1556,6682.67,516761,261,6037
3,2,1477,3513.53,253885,261,6037
5,3,2763,10105.89,917486,261,6037
3,3,1581,2286.22,119044,261,6037
3,2,1048,2891.83,206222,261,6037
4,2,1538,3991.87,246668,261,6037
3,2,1588,6845.09,623165,261,6037
3,2,1831,1546.72,68991,261,6037
2,2,1349,5518.88,413177,261,6037
3,2,1496,8457.21,393946,261,6037
2,1,1283,6869.4,626497,261,6037
3,2,1415,2633.97,163000,261,6037
3,2,1413,902.02,52718,261,6037
2,2,1239,4504.51,343487,261,6037
3,2,1680,3461.53,312011,261,6037
3,2,1632,3134.53,191000,261,6037
4,2,1647,3895.56,286886,261,6037
2,1,838,5030.07,364080,261,6037
3,2,1775,4685.99,424240,261,6037
4,2,1634,2501.2,136294,261,6037
4,2,1370,1670.41,241708,261,6037
4,2,1589,3435.97,256239,261,6037
2,1,854,1787.22,162105,261,6037
3,2,1357,3088.77,205080,261,6037
3,2,1564,925.21,58607,261,6037
3,2,1347,1257.64,81343,261,6037
2,1,1210,721.82,63124,261,6037
3,3,2259,3741.87,303000,261,6037
3,2,1291,909.42,58460,261,6037
2,1,1084,3571.76,286795,261,6037
3,2,1951,1263.67,109511,261,6037
3,2,2168,3167.66,202723,261,6037
4,2,2584,1925.69,140001,261,6037
3,2,1416,6822.96,458000,261,6037
4,3,2240,1502.72,130028,261,6037
4,3,1516,3408.12,210422,261,6037
3,2,1273,2088.86,159528,261,6037
2,2,1583,2436.99,195566,261,6037
3,1,1679,795.17,67965,261,6037
4,3,2203,3063.06,150431,261,6037
3,1,1284,2953.09,233181,261,6037
3,3,2202,2657.68,204538,261,6037
3,2,1893,3699.36,333734,261,6037
4,2,2051,3854.99,248527,261,6037
3,2,1500,5615.02,463000,261,6037
1,2,1128,955.03,52172,261,6037
2,1,978,725.85,64290,261,6037
4,3,3506,6366.09,436160,261,6037
2,2,1494,3186.55,236030,261,6037
2,1,1079,4495.73,372294,261,6037
2,1,940,2484.88,219384,261,6037
3,3,2652,4560.44,298245,261,6037
3,1,1012,4862.94,387277,261,6037
3,2,1167,4404.41,358011,261,6037
4,2,1434,5218.74,474641,261,6037
3,3,2145,4210.36,380756,261,6037
3,1,1031,2806.68,208376,261,6037
4,3,2196,6887.01,459896,261,6037
3,2,1988,5874.42,529712,261,6037
4,2,2066,6258.79,573107,261,6037
3,1,1115,1204.89,59394,261,6037
2,1,1034,815.94,62521,261,6037
3,1,1036,6753.71,610165,261,6037
2,1,1235,1698.6,127388,261,6037
2,2,965,2706.91,201466,261,6037
2,1,1206,2460.75,194575,261,6037
3,2,1745,5991.83,537508,261,6037
3,3,2215,3255.9,279000,261,6037
3,2,1579,2077.84,153165,261,6037
2,1,866,3458.97,276229,261,6037
2,3,1718,10117.07,911595,261,6037
1,2,1769,926.66,72081,261,6037
4,2,1642,3616.17,256407,261,6037
3,2,2151,7010.91,596554,261,6037
3,2,1118,2870.39,230503,261,6037
4,4,2710,6494.84,479636,261,6037
4,2,1724,4949.79,430648,261,6037
3,3,1260,3495.46,246542,261,6037
3,2,1512,4332.08,344833,261,6037
3,3,1289,6095.42,447000,261,6037
4,3,2268,4741.48,404533,261,6037
2,2,1517,4630.89,352221,261,6037
4,2,2261,2190.01,169570,261,6037
5,3,2350,6838.41,511143,261,6037
5,2,1432,3319.01,279948,261,6037
1,1,820,619.73,37642,261,6037
4,2,1416,3622.89,291841,261,6037
2,2,1385,2605.7,204000,261,6037
3,1,1053,2624.92,218902,261,6037
3,2,1482,7388.19,597243,261,6037
3,1,1127,2202.83,171907,261,6037
1,0,260,248.41,9265,261,6037
3,2,1302,6826.88,588845,261,6037
4,2,2855,11598.09,971950,261,6037
3,2,1098,3549.46,283500,261,6037
3,2,1847,1540.75,107379,261,6037
3,2,1300,1007.41,72415,261,6037
4,2,2210,10806.13,905498,261,6037
3,2,1333,4266.13,344836,261,6037
3,2,1701,5840.78,465369,261,6037
6,3,3188,6441.78,552841,261,6037
2,1,1076,7814.8,670000,261,6037
3,2,1646,1473.15,111195,261,6037
4,3,3938,7754.73,619190,261,6037
3,2,1543,7092.67,611690,261,6037
2,2,1535,3600.78,292754,261,6037
3,2,1025,644.09,45151,261,6037
2,1,1065,3173.32,250598,261,6037
3,2,1583,4468.64,382640,261,6037
4,3,2761,23098.39,1946803,261,6037
2,2,1642,1309.01,79477,261,6037
2,2,1709,3398.11,267144,261,6037
3,2,1815,5379.6,418566,261,6037
2,1,1175,6821.1,582966,261,6037
5,2,1553,2592.78,181124,261,6037
4,1,1521,3808.6,304586,261,6037
1,1,360,1427.71,115539,261,6037
2,2,1196,5875.32,505399,261,6037
3,2,1275,4322.58,346902,261,6037
3,2,1390,3102.09,252774,261,6037
4,2,1762,9173.58,750000,261,6037
4,3,2691,16752.58,1411182,261,6037
3,3,1385,4062.09,324326,261,6037
2,2,1658,4492.21,366160,261,6037
3,2,1910,6873.65,562171,261,6037
4,4,3815,37627.2,3267074,261,6037
3,2,1491,1234.68,85897,261,6037
3,2,1712,3414.09,241064,261,6037
3,2,1373,3908.77,315737,261,6037
3,2,2178,22731.56,1916773,261,6037
4,2,1224,2791.99,221903,261,6037
3,2,1565,4582.26,330322,261,6037
3,2,1533,3963.89,322949,261,6037
3,1,1498,17775.91,1471493,261,6037
4,2,1936,5830.23,467014,261,6037
3,2,1216,4097.88,297619,261,6037
2,2,1382,17127.6,1416273,261,6037
4,5,3312,25750.84,2180324,261,6037
4,2,1150,4205.43,335032,261,6037
2,1,788,2448.31,164352,261,6037
2,2,1747,1461.21,112207,261,6037
3,2,1766,3861.08,313719,261,6037
3,1,1762,4679.43,367000,261,6037
3,1,1218,1533.55,93559,261,6037
2,2,1368,5114.76,424692,261,6037
4,2,1302,3819.32,311604,261,6037
5,2,1624,9980.57,419388,261,6037
2,2,1040,1341.64,59843,261,6037
4,3,1725,12793.77,1060935,261,6037
3,2,1587,8530.74,724872,261,6037
3,2,1438,5871.45,477166,261,6037
2,1,800,6753.73,313000,261,6037
3,2,1376,5391.59,441059,261,6037
2,1,1534,4412.57,364153,261,6037
3,3,1833,4874.2,388919,261,6037
5,2,1965,4019.3,287814,261,6037
3,3,1662,7515.18,625492,261,6037
3,2,1681,4061.84,324453,261,6037
4,3,1826,4549.59,357549,261,6037
3,2,1410,2743.66,187985,261,6037
4,2,2382,1806.17,138322,261,6037
5,2,1889,2461.53,186781,261,6037
3,2,1584,2859.05,225161,261,6037
3,2,1533,3528.92,248642,261,6037
2,3,1584,1323.19,99871,261,6037
3,3,2143,1763.46,123974,261,6037
3,2,1194,3965.91,321758,261,6037
3,2,1705,6015.86,440000,261,6037
2,2,1212,923.13,72849,261,6037
2,2,1410,407.07,54425,261,6037
2,2,1108,2624.98,207699,261,6037
3,2,1633,3004.57,208924,261,6037
2,1,804,2961.64,241199,261,6037
2,1,1320,890.58,49645,261,6037
3,2,1497,5983.07,408076,261,6037
3,1,1015,3077.75,212119,261,6037
2,2,1525,7426.7,667240,261,6037
3,1,1145,5775.17,486700,261,6037
4,2,1600,4182.24,343274,261,6037
3,2,1224,990.23,56240,261,6037
3,3,2230,16325.81,1461959,261,6037
3,2,1595,9066.36,673398,261,6037
2,1,1140,5394.03,437572,261,6037
4,2,1449,3383.51,220973,261,6037
3,2,1562,2804.42,201908,261,6037
3,2,1632,2602.44,176941,261,6037
2,1,1080,698.16,28319,261,6037
3,2,1180,1040.71,51727,261,6037
3,1,1144,5656.47,435857,261,6037
3,2,1594,6017.63,442866,261,6037
3,2,1257,4483.45,368763,261,6037
2,1,908,2230.12,147206,261,6037
3,2,1322,2746.12,189872,261,6037
3,2,1824,1395.09,85691,261,6037
2,1,672,4162.65,348000,261,6037
2,1,960,2412.52,167474,261,6037
4,2,1378,5482.78,420030,261,6037
3,2,1822,8249.86,609150,261,6037
3,2,1759,984.98,73066,261,6037
4,2,1432,6431.65,500428,261,6037
3,2,1748,1265.75,84244,261,6037
2,1,968,1299.84,85822,261,6037
2,1,915,4291.32,357838,261,6037
3,2,1441,907.17,56570,261,6037
2,1,996,4416.89,328955,261,6037
3,3,1938,6984.17,554784,261,6037
3,3,2050,8208.89,680629,261,6037
3,2,1652,1263.97,87193,261,6037
2,1,1042,8578.31,701573,261,6037
4,2,1777,4044.47,321147,261,6037
4,3,2736,3550.69,280120,261,6037
2,1,822,3548.8,277740,261,6037
4,2,906,1358.87,64679,261,6037
3,2,1374,2831.85,215765,261,6037
3,2,1134,3603.52,283804,261,6037
3,1,1132,854.06,54412,261,6037
3,1,1114,10012.44,837300,261,6037
5,4,3618,28592.27,2475759,261,6037
3,2,1680,1338.26,91524,261,6037
3,1,1377,4773.8,410552,261,6037
3,2,1102,898.41,61260,261,6037
3,2,1350,3502.13,283846,261,6037
4,3,1973,8397.92,680000,261,6037
3,1,1207,4170.29,340674,261,6037
3,2,1786,7219.3,590131,261,6037
4,3,2906,12123.82,1052542,261,6037
4,6,4416,14574.5,1194000,261,6037
3,1,1056,5151.62,425159,261,6037
3,2,1890,8279.36,734579,261,6037
4,3,1818,3484.17,281402,261,6037
2,1,1174,842.03,65643,261,6037
3,1,1428,1076.25,64349,261,6037
3,2,1595,7167.18,634072,261,6037
2,1,1091,3904.94,311974,261,6037
4,2,2065,2873.95,220220,261,6037
3,1,1120,5811.54,466000,261,6037
4,4,3733,22796.09,2055295,261,6037
4,2,1646,3148.73,244063,261,6037
6,3,3600,2414.78,173893,261,6037
3,1,1023,2637.62,188697,261,6037
5,5,4058,20240.37,1819577,261,6037
3,3,1656,3465.46,264359,261,6037
4,2,1882,7990.27,646000,261,6037
3,2,1500,5735.21,496101,261,6037
3,2,1506,4756.44,407712,261,6037
4,2,2122,5472.49,433566,261,6037
4,3,2641,9629.59,774664,261,6037
2,1,803,2822.69,230555,261,6037
3,3,2328,1868.7,141016,261,6037
4,3,2138,9282.4,761437,261,6037
3,2,1358,2267.41,178766,261,6037
2,1,878,6021.77,525000,261,6037
3,2,1192,3343,287385,261,6037
5,2,1936,770.45,54602,261,6037
3,3,1534,5929.79,460923,261,6037
3,3,1487,5388.29,458787,261,6037
2,1,965,11121.33,1000021,261,6037
